iter	RMSE
0	9.928188261
1	9.6489983
2	9.396451067
3	9.163707761
4	8.946196549
5	8.739125918
6	8.54786717
7	8.376907263
8	8.21107933
9	8.065219931
10	7.929911556
11	7.807275788
12	7.693154361
13	7.584364931
14	7.490561221
15	7.405277781
16	7.320437973
17	7.242539068
18	7.177981464
19	7.112455673
20	7.051526214
21	6.998741046
22	6.946899848
23	6.902166736
24	6.860302031
25	6.823729469
26	6.789252302
27	6.757834534
28	6.724291192
29	6.697063682
30	6.671679658
31	6.648608184
32	6.627470583
33	6.601793699
34	6.581553177
35	6.562223566
36	6.544204165
37	6.53313171
38	6.52035641
39	6.502203165
40	6.484606905
41	6.469909419
42	6.458369293
43	6.452751091
44	6.441360099
45	6.428543619
46	6.418784107
47	6.401917055
48	6.394318529
49	6.386882119
50	6.375333871
51	6.36274106
52	6.35828812
53	6.350444581
54	6.344068308
55	6.340249752
56	6.332396966
57	6.329448148
58	6.321968165
59	6.313666944
60	6.306550077
61	6.293472698
62	6.287922829
63	6.274864003
64	6.271571604
65	6.26255414
66	6.259936107
67	6.256014015
68	6.25014977
69	6.243203027
70	6.238995037
71	6.235219345
72	6.229637367
73	6.225502379
74	6.216969203
75	6.211567396
76	6.205283531
77	6.199875003
78	6.189597334
79	6.184633909
80	6.180131983
81	6.177393903
82	6.173949808
83	6.169509709
84	6.16653632
85	6.158434254
86	6.15532584
87	6.150128062
88	6.148462548
89	6.144321467
90	6.139741968
91	6.135908603
92	6.131507898
93	6.12307672
94	6.121331648
95	6.117902682
96	6.113907234
97	6.111103514
98	6.105977773
99	6.100618316
100	6.097278235
101	6.093395705
102	6.083628705
103	6.078694546
104	6.074040321
105	6.070324823
106	6.064015836
107	6.061321275
108	6.057431998
109	6.050790761
110	6.048752763
111	6.041538804
112	6.032209684
113	6.028036882
114	6.025133441
115	6.020376391
116	6.018268396
117	6.01590183
118	6.008451368
119	6.003593473
120	6.000643481
121	5.997303492
122	5.98985474
123	5.984546879
124	5.981414564
125	5.977010262
126	5.964243025
127	5.960546085
128	5.956530055
129	5.953784748
130	5.948623769
131	5.941706482
132	5.937717781
133	5.934070902
134	5.930062992
135	5.925395728
136	5.922126273
137	5.91964177
138	5.916084577
139	5.911145703
140	5.907642632
141	5.901165929
142	5.896333493
143	5.893039256
144	5.88954282
145	5.885869884
146	5.880869192
147	5.87702557
148	5.874390825
149	5.87068032
150	5.86577384
151	5.861452033
152	5.855237579
153	5.853147084
154	5.847450086
155	5.842239307
156	5.838805217
157	5.833129471
158	5.827631852
159	5.823867558
160	5.82135183
161	5.816415618
162	5.814093419
163	5.810691643
164	5.80755277
165	5.805932974
166	5.801191716
167	5.795729883
168	5.790120371
169	5.787558274
170	5.784950834
171	5.778843218
172	5.776316962
173	5.774437863
174	5.767400516
175	5.76285346
176	5.760078714
177	5.756306473
178	5.752297104
179	5.745355512
180	5.740106754
181	5.736287313
182	5.731728617
183	5.727672046
184	5.724862563
185	5.721447771
186	5.717633236
187	5.712095029
188	5.709320439
189	5.704570072
190	5.700763602
191	5.697858651
192	5.693773781
193	5.687314688
194	5.684320963
195	5.680479969
196	5.677066481
197	5.672236974
198	5.669155717
199	5.664022661
200	5.660724129
201	5.657053473
202	5.654384572
203	5.649470857
204	5.643377311
205	5.637400964
206	5.634102204
207	5.630375599
208	5.628471347
209	5.625497773
210	5.622465499
211	5.617352739
212	5.613637361
213	5.61087
214	5.607060709
215	5.604297486
216	5.60006823
217	5.596536098
218	5.591094992
219	5.586479256
220	5.582810647
221	5.581287547
222	5.578694499
223	5.574190257
224	5.571405366
225	5.567263375
226	5.564685465
227	5.561867521
228	5.558387907
229	5.555866806
230	5.55299384
231	5.550034804
232	5.546589194
233	5.542310961
234	5.539715708
235	5.535112003
236	5.530387279
237	5.526480193
238	5.523351261
239	5.520810219
240	5.518260592
241	5.513693214
242	5.508738284
243	5.506453525
244	5.503625603
245	5.501701806
246	5.496953995
247	5.493453236
248	5.488854584
249	5.484921285
250	5.482532116
251	5.4788934
252	5.476276157
253	5.471592742
254	5.468076803
255	5.462964204
256	5.459235711
257	5.455690089
258	5.452905628
259	5.450127444
260	5.44817425
261	5.443968412
262	5.439458308
263	5.433512167
264	5.429354288
265	5.423793178
266	5.42046582
267	5.416400394
268	5.414724173
269	5.411041515
270	5.408245239
271	5.403797777
272	5.401405536
273	5.39825161
274	5.396715736
275	5.392403785
276	5.389363141
277	5.384650809
278	5.380585572
279	5.37719926
280	5.373586115
281	5.368659341
282	5.365541862
283	5.362762221
284	5.358440299
285	5.356642061
286	5.353752203
287	5.349669917
288	5.344291126
289	5.339904109
290	5.336627972
291	5.333680361
292	5.329097192
293	5.327040916
294	5.325363435
295	5.321881725
296	5.317416088
297	5.315705664
298	5.313066669
299	5.308966677
300	5.304771727
301	5.302633404
302	5.299459615
303	5.296530879
304	5.292376915
305	5.290473364
306	5.287684282
307	5.284808726
308	5.281600835
309	5.279229749
310	5.274107865
311	5.270113921
312	5.266170788
313	5.264721936
314	5.261411616
315	5.257641049
316	5.255572422
317	5.252832019
318	5.250882061
319	5.246982284
320	5.244500403
321	5.241839935
322	5.238708369
323	5.236097632
324	5.23343921
325	5.230578439
326	5.225867183
327	5.224189363
328	5.221014606
329	5.216826692
330	5.212885289
331	5.210038787
332	5.20605436
333	5.201969659
334	5.198834443
335	5.195074765
336	5.192595977
337	5.190680694
338	5.188208473
339	5.18517429
340	5.180601447
341	5.177067029
342	5.174619902
343	5.170280934
344	5.168379619
345	5.167271546
346	5.163808178
347	5.159357127
348	5.155788907
349	5.153285894
350	5.150660392
351	5.147075152
352	5.144506244
353	5.141278142
354	5.137965026
355	5.135131315
356	5.131467561
357	5.127886372
358	5.124697845
359	5.122454736
360	5.118375885
361	5.115833087
362	5.112985836
363	5.111026723
364	5.108013219
365	5.104707515
366	5.101273365
367	5.098353121
368	5.095967944
369	5.092745306
370	5.090263172
371	5.087651396
372	5.086285284
373	5.083936069
374	5.079980104
375	5.075948875
376	5.0728358
377	5.070694862
378	5.067828571
379	5.065080594
380	5.062353171
381	5.059961086
